med,indication
dimenhydrinate,atopic dermatitis
urea,hyperkeratosis epidermolytic
urea,glaucoma
urea,intracranial hypertension
metirosine,not_found
metyrosine,pheochromocytoma
metyrosine,hypertension
nitroprusside,congestive heart failure
nitroprusside,hypertension
nitroprusside,malignancy
acetylsalicylic acid,rheumatoid arthritis
acetylsalicylic acid,gout
acetylsalicylic acid,systemic lupus erythematosus
acetylsalicylic acid,hypertension
acetylsalicylic acid,kawasaki disease
acetylsalicylic acid,coronary artery disease
acetylsalicylic acid,migraine
acetylsalicylic acid,osteoarthritis
aminosalicylic acid,not_found
hydroxychloroquine,photosensitivity disorders
hydroxychloroquine,rheumatoid arthritis
hydroxychloroquine,porphyria cutanea tarda
hydroxychloroquine,systemic lupus erythematosus
hydroxychloroquine,malaria
quinine,babesiosis
quinine,muscle cramp
quinine,malaria
quinine,malaria
azathioprine,rheumatoid arthritis
azathioprine,systemic lupus erythematosus
azathioprine,multiple sclerosis
azathioprine,systemic scleroderma
azathioprine,rheumatoid arthritis
azathioprine,systemic lupus erythematosus
azathioprine,crohns disease
azathioprine,multiple sclerosis
azathioprine,idiopathic thrombocytopenic purpura
azathioprine,crohns disease
azathioprine,ulcerative colitis
azathioprine,ulcerative colitis
azathioprine,graft-vs-host disease
capecitabine,breast cancer
capecitabine,esophageal cancer
capecitabine,colon cancer
capecitabine,kidney neoplasm
capecitabine,stomach cancer
capecitabine,prostatic neoplasms
cladribine,lymphoma
cladribine,multiple sclerosis
cladribine,leukemias
cladribine,multiple sclerosis
cladribine,hematologic cancer
hydroxyurea,ovarian neoplasm
hydroxyurea,kidney neoplasm
hydroxyurea,lung neoplasms
hydroxyurea,hematologic cancer
hydroxyurea,melanoma
hydroxyurea,skin cancer
hydroxyurea,prostatic neoplasms
hydroxyurea,not_found
hydroxyurea,psoriasis
hydroxyurea,uterine cancer
hydroxyurea,head and neck cancer
mercaptopurine,ulcerative colitis
mercaptopurine,hematologic cancer
mercaptopurine,crohns disease
methotrexate,testicular neoplasms
methotrexate,rheumatoid arthritis
methotrexate,leukemias
methotrexate,mycosis fungoides
methotrexate,not_found
methotrexate,not_found
methotrexate,ankylosing spondylitis
methotrexate,stomach cancer
methotrexate,psoriasis
methotrexate,esophageal neoplasms
methotrexate,urinary bladder cancer
methotrexate,breast cancer
methotrexate,colon cancer
methotrexate,malignancy
methotrexate,multiple sclerosis
methotrexate,rheumatoid arthritis
methotrexate,testicular neoplasms
methotrexate,lung neoplasms
methotrexate,lymphatic system cancer
methotrexate,psoriasis
methotrexate,hydatidiform mole
methotrexate,esophageal cancer
methotrexate,lung neoplasms
methotrexate,psoriatic arthritis
methotrexate,germ cell cancer
methotrexate,osteosarcoma
methotrexate,choriocarcinoma
methotrexate,juvenile arthritis
methotrexate,systemic lupus erythematosus
methotrexate,hematologic cancer
methotrexate,crohns disease
methotrexate,systemic scleroderma
mycophenolate,systemic scleroderma
mycophenolate,systemic lupus erythematosus
mycophenolate,psoriasis
mycophenolate,behcet syndrome
mycophenolate,kidney transplant
mycophenolate mofetil,systemic scleroderma
mycophenolate mofetil,systemic lupus erythematosus
mycophenolate mofetil,psoriasis
mycophenolate mofetil,behcet syndrome
mycophenolate mofetil,kidney transplant
pemetrexed,mesothelioma
pemetrexed,non small cell lung cancer
teriflunomide,not_found
eplerenone,coronary artery disease
eplerenone,hypertension
tropicamide,keratitis
tropicamide,iritis
tropicamide,iridocyclitis
methscopolamine,peptic ulcer
benzatropine,schizophrenia
benzatropine,alzheimers disease
benzatropine,not_found
benzatropine,not_found
benzatropine,parkinsons disease
clidinium,peptic ulcer
clidinium,irritable bowel syndrome
pyridostigmine,myasthenia gravis
ethambutol,mycobacterium
ethambutol,tuberculosis
isoniazid,mycobacterium
isoniazid,tuberculosis
levodopa,parkinsons disease
amantadine,influenza
amantadine,dystonia
amantadine,dyskinesia
amantadine,parkinsons disease
amantadine,akathisia
amantadine,parkinsons disease
benztropine,parkinsons disease
bromocriptine,adenoma
bromocriptine,malignancy
bromocriptine,hyperprolactinemia
bromocriptine,hypogonadism
bromocriptine,acromegaly
bromocriptine,parkinsons disease
bromocriptine,infertility
bromocriptine,diabetes mellitus
bromocriptine,amenorrhea
bromocriptine,galactorrhea
bromocriptine,parkinsons disease
entacapone,parkinsons disease
pramipexole,restless legs syndrome
pramipexole,depression
pramipexole,parkinsons disease
pramipexole,alzheimers disease
pramipexole,parkinsons disease
rasagiline,parkinsons disease
ropinirole,multiple sclerosis
ropinirole,alzheimers disease
ropinirole,parkinsons disease
ropinirole,restless legs syndrome
tolcapone,parkinsons disease
trihexyphenidyl,parkinsons disease
trihexyphenidyl,parkinsons disease
nitazoxanide,antiprotozoal
pyrimethamine,malaria
pyrimethamine,toxoplasmosis
pyrimethamine,malaria
paliperidone,schizophrenia
risperidone,bipolar disorder
risperidone,not_found
risperidone,not_found
risperidone,not_found
risperidone,not_found
risperidone,schizophrenia
risperidone,dementia
risperidone,bipolar disorder
risperidone,schizophrenia
risperidone,tourette syndrome
risperidone,tourette syndrome
risperidone,conduct disorder
droperidol,nausea
droperidol,pain
droperidol,psychosis
droperidol,vomiting
iloperidone,schizophrenia
molindone,psychosis
molindone,schizophrenia
thiothixene,schizophrenia
thiothixene,psychosis
thiothixene,schizophrenia
ziprasidone,tourette syndrome
ziprasidone,schizophrenia
ziprasidone,bipolar disorder
chlorpromazine,conduct disorder
chlorpromazine,acute intermittent porphyria
chlorpromazine,nausea
chlorpromazine,psychosis
chlorpromazine,vomiting
chlorpromazine,schizophrenia
chlorpromazine,attention deficit hyperactive disorder
chlorpromazine,bipolar disorder
chlorpromazine,schizophrenia
chlorpromazine,hiccup
chlorpromazine,tetanus
chlorpromazine,child behavior disorders
chlorpromazine,anxiety
fluphenazine,schizophrenia
fluphenazine,psychosis
fluphenazine,schizophrenia
haloperidol,psychosis
haloperidol,vomiting
haloperidol,schizophrenia
haloperidol,schizophrenia
haloperidol,tourette syndrome
haloperidol,alzheimers disease
haloperidol,tourette syndrome
haloperidol,child behavior disorders
haloperidol,conduct disorder
loxapine,schizophrenia
loxapine,psychosis
loxapine,schizophrenia
perphenazine,torticollis
perphenazine,nausea
perphenazine,psychosis
perphenazine,vomiting
perphenazine,schizophrenia
perphenazine,reye syndrome
perphenazine,tourette syndrome
perphenazine,tourette syndrome
perphenazine,huntington disease
prochlorperazine,breast cancer
prochlorperazine,nausea
prochlorperazine,psychosis
prochlorperazine,vomiting
prochlorperazine,schizophrenia
prochlorperazine,dementia
prochlorperazine,anxiety
trifluoperazine,schizophrenia
trifluoperazine,psychosis
trifluoperazine,anxiety
trifluoperazine,schizophrenia
aripiprazole,schizophrenia
aripiprazole,not_found
aripiprazole,not_found
aripiprazole,depression
aripiprazole,bipolar disorder
aripiprazole lauroxil,schizophrenia
aripiprazole lauroxil,not_found
aripiprazole lauroxil,not_found
aripiprazole lauroxil,depression
aripiprazole lauroxil,bipolar disorder
asenapine,bipolar disorder
asenapine,schizophrenia
brexpiprazole,schizophrenia
brexpiprazole,depression
cariprazine,schizophrenia
cariprazine,mania
cariprazine,bipolar disorder
clozapine,bipolar disorder
clozapine,psychosis
clozapine,schizophrenia
clozapine,bipolar disorder
clozapine,schizophrenia
lurasidone,schizophrenia
lurasidone,bipolar disorder
olanzapine,tourette syndrome
olanzapine,schizophrenia
olanzapine,bipolar disorder
olanzapine,panic disorder
olanzapine,agitation
pimavanserin,parkinsons disease psychosis
pimavanserin,dementia associated psychosis
pimavanserin,schizophrenia
pimavanserin,agitation
pimavanserin,major depression
quetiapine,not_found
quetiapine,not_found
quetiapine,parkinsons disease
quetiapine,bipolar disorder
quetiapine,schizophrenia
quetiapine,alzheimers disease
quetiapine,agitation
thioridazine,schizophrenia
thioridazine,psychosis
thioridazine,schizophrenia
povidone-iodine,antiseptic
povidone-iodine,disinfectant
triclosan,mycoses
dicyclomine,irritable bowel syndrome
dicycloverine,irritable bowel syndrome
propantheline,urethral diseases
propantheline,pancreatitis
propantheline,peptic ulcer
propantheline,spasm
propantheline,irritable bowel syndrome
propantheline,pancreatitis
famciclovir,herpes zoster
famciclovir,herpes simplex virus
oseltamivir,influenza
valacyclovir,herpes zoster
valacyclovir,herpes simplex virus
aciclovir,acquired immunodeficiency syndrome
acyclovir,epstein-barr virus
acyclovir,herpes labialis
acyclovir,herpes zoster
acyclovir,cytomegalovirus
acyclovir,herpes zoster infection
acyclovir,herpes simplex virus
acyclovir,herpes simplex virus
acyclovir,genital herpes simplex infection
adefovir,hepatitis b
adefovir,hepatitis b
adefovir dipivoxil,hepatitis b
adefovir dipivoxil,hepatitis b
atazanavir,human immumodeficiency virus
cidofovir,cytomegalovirus
cobicistat,human immumodeficiency virus
cobicistat,human immumodeficiency virus
cobicistat,acquired immunodeficiency syndrome
daclatasvir,hepatitis c
dasabuvir,hepatitis c
delavirdine,human immumodeficiency virus
delavirdine,acquired immunodeficiency syndrome
docosanol,not_found
efavirenz,acquired immunodeficiency syndrome
elbasvir,hepatitis c
elvitegravir,human immumodeficiency virus
elvitegravir,human immumodeficiency virus
elvitegravir,acquired immunodeficiency syndrome
enfuvirtide,human immumodeficiency virus
enfuvirtide,human immumodeficiency virus
enfuvirtide,acquired immunodeficiency syndrome
etravirine,human immumodeficiency virus
etravirine,human immumodeficiency virus
etravirine,acquired immunodeficiency syndrome
fosamprenavir,human immumodeficiency virus
fosamprenavir,human immumodeficiency virus
fosamprenavir,acquired immunodeficiency syndrome
foscarnet,cytomegalovirus
foscarnet,genital herpes simplex infection
ganciclovir,cytomegalovirus
ganciclovir,acquired immunodeficiency syndrome
grazoprevir,hepatitis c
indinavir,human immumodeficiency virus
indinavir,acquired immunodeficiency syndrome
ledipasvir,hepatitis c
lopinavir,human immumodeficiency virus
lopinavir,human immumodeficiency virus
lopinavir,acquired immunodeficiency syndrome
maraviroc,human immumodeficiency virus
maraviroc,human immumodeficiency virus
maraviroc,acquired immunodeficiency syndrome
nelfinavir,human immumodeficiency virus
nelfinavir,acquired immunodeficiency syndrome
nevirapine,human immumodeficiency virus
nevirapine,acquired immunodeficiency syndrome
ombitasvir,hepatitis c
paritaprevir,hepatitis c
penciclovir,herpes zoster
penciclovir,herpes simplex virus
peramivir,influenza
raltegravir,human immumodeficiency virus
raltegravir,human immumodeficiency virus
raltegravir,acquired immunodeficiency syndrome
ribavirin,west nile fever
ribavirin,adenovirus infections human
ribavirin,respiratory syncytial virus
ribavirin,hepatitis c
rilpivirine,human immumodeficiency virus
rimantadine,influenza
ritonavir,human immumodeficiency virus
ritonavir,acquired immunodeficiency syndrome
saquinavir,human immumodeficiency virus
saquinavir,acquired immunodeficiency syndrome
sofosbuvir,hepatitis c
tenofovir alafenamide,hepatitis b
tenofovir disoproxil,hepatitis b
tipranavir,human immumodeficiency virus
tipranavir,human immumodeficiency virus
tipranavir,acquired immunodeficiency syndrome
trifluridine,keratitis herpetic
trifluridine,keratoconjunctivitis infectious
valaciclovir,cytomegalovirus
valaciclovir,herpes simplex virus
valaciclovir,herpes zoster
valganciclovir,cytomegalovirus
valganciclovir,human immumodeficiency virus
velpatasvir,hepatitis c
zanamivir,influenza
azilsartan,congestive heart failure
azilsartan,hypertension
azilsartan,diabetes mellitus
azilsartan,left ventricular hypertrophy
azilsartan,coronary artery disease
azilsartan,diabetic nephropathy
azilsartan,hypertension
azilsartan medoxomil,congestive heart failure
azilsartan medoxomil,hypertension
azilsartan medoxomil,diabetes mellitus
azilsartan medoxomil,left ventricular hypertrophy
azilsartan medoxomil,coronary artery disease
azilsartan medoxomil,diabetic nephropathy
azilsartan medoxomil,hypertension
candesartan,congestive heart failure
candesartan,hypertension
candesartan,diabetes mellitus
candesartan,left ventricular hypertrophy
candesartan,coronary artery disease
candesartan,diabetic nephropathy
candesartan,hypertension
irbesartan,congestive heart failure
irbesartan,hypertension
irbesartan,diabetes mellitus
irbesartan,left ventricular hypertrophy
irbesartan,coronary artery disease
irbesartan,diabetic nephropathy
irbesartan,hypertension
losartan,congestive heart failure
losartan,hypertension
losartan,diabetes mellitus
losartan,left ventricular hypertrophy
losartan,coronary artery disease
losartan,diabetic nephropathy
losartan,hypertension
olmesartan,congestive heart failure
olmesartan,hypertension
olmesartan,diabetes mellitus
olmesartan,left ventricular hypertrophy
olmesartan,coronary artery disease
olmesartan,diabetic nephropathy
olmesartan,hypertension
olmesartan medoxomil,congestive heart failure
olmesartan medoxomil,hypertension
olmesartan medoxomil,diabetes mellitus
olmesartan medoxomil,left ventricular hypertrophy
olmesartan medoxomil,coronary artery disease
olmesartan medoxomil,diabetic nephropathy
olmesartan medoxomil,hypertension
valsartan,congestive heart failure
valsartan,hypertension
valsartan,diabetes mellitus
valsartan,left ventricular hypertrophy
valsartan,coronary artery disease
valsartan,diabetic nephropathy
valsartan,hypertension
eprosartan,congestive heart failure
eprosartan,hypertension
eprosartan,diabetes mellitus
eprosartan,left ventricular hypertrophy
eprosartan,coronary artery disease
eprosartan,diabetic nephropathy
eprosartan,hypertension
telmisartan,congestive heart failure
telmisartan,hypertension
telmisartan,diabetes mellitus
telmisartan,left ventricular hypertrophy
telmisartan,coronary artery disease
telmisartan,diabetic nephropathy
telmisartan,hypertension
anastrozole,breast cancer
exemestane,breast cancer
letrozole,breast cancer
arsenic,leukemias
arsenic trioxide,leukemias
artemether,malaria
aspirin,preeclampsia
aspirin,cerebral infarction
aspirin,fever
aspirin,rheumatic fever
aspirin,rheumatoid arthritis
aspirin,pain
aspirin,arthritis
aspirin,myocardial infarction
aspirin,inflammation
aspirin,gout
aspirin,transient ischemic attack
avobenzone,not_found
azelaic acid,acne
azelaic acid,acne
azelastine,not_found
arformoterol,chronic obstructive pulmonary disease
arformoterol,asthma
arformoterol,bronchospasm
formoterol,chronic obstructive pulmonary disease
formoterol,asthma
formoterol,bronchospasm
indacaterol,chronic obstructive pulmonary disease
indacaterol,asthma
indacaterol,bronchospasm
olodaterol,chronic obstructive pulmonary disease
olodaterol,asthma
olodaterol,bronchospasm
salmeterol,chronic obstructive pulmonary disease
salmeterol,asthma
salmeterol,bronchospasm
vilanterol,chronic obstructive pulmonary disease
vilanterol,asthma
vilanterol,bronchospasm
albuterol,chronic obstructive pulmonary disease
albuterol,asthma
albuterol,bronchospasm
levalbuterol,chronic obstructive pulmonary disease
levalbuterol,asthma
levalbuterol,bronchospasm
tiotropium,chronic obstructive pulmonary disease
tiotropium,asthma
tiotropium,bronchospasm
butabarbital,migraine
butabarbital,insomnia
butalbital,migraine
butalbital,insomnia
pentobarbital,migraine
pentobarbital,insomnia
secobarbital,migraine
secobarbital,insomnia
venetoclax,chronic lymphocytic leukemia
venetoclax,acute myelogenous leukemia
venetoclax,leukemias
becaplermin,diabetic foot ulcers
belinostat,t-cell lymphoma
triazolam,insomnia
alprazolam,depression
alprazolam,agoraphobia
alprazolam,panic disorder
alprazolam,systemic scleroderma
alprazolam,panic disorder
chlordiazepoxide,alcohol dependence
chlordiazepoxide,anxiety
chlordiazepoxide,alcohol withdrawal
clobazam,epilepsy syndrome
clonazepam,not_found
clonazepam,not_found
clonazepam,myoclonic epilepsy
clonazepam,dysarthria
clonazepam,neuralgia
clonazepam,tic disorder
clonazepam,parkinsons disease
clonazepam,schizophrenia
clonazepam,multiple sclerosis
clonazepam,epilepsy syndrome
clonazepam,lennox-gastaut syndrome
clonazepam,absence epilepsy
clonazepam,osteoarthritis
clonazepam,bipolar disorder
clonazepam,panic disorder
clonazepam,seizures
clonazepam,restless legs syndrome
clonazepam,restless legs syndrome
clonazepam,schizophrenia
clonazepam,bipolar disorder
clonazepam,panic disorder
clorazepate,status epilepticus
clorazepate,epilepsy syndrome
clorazepate,muscle spasticity
clorazepate,multiple sclerosis
clorazepate,alcohol withdrawal
clorazepate,panic disorder
clorazepate,panic disorder
diazepam,status epilepticus
diazepam,epilepsy syndrome
diazepam,muscle spasticity
diazepam,multiple sclerosis
diazepam,alcohol withdrawal
diazepam,panic disorder
diazepam,panic disorder
estazolam,insomnia
flurazepam,insomnia
lorazepam,catatonia
lorazepam,epilepsy partial
lorazepam,status epilepticus
lorazepam,depression
lorazepam,psychosis
lorazepam,vomiting
lorazepam,insomnia
lorazepam,panic disorder
lorazepam,anxiety
midazolam,status epilepticus
midazolam,psychomotor agitation
midazolam,epilepsy syndrome
midazolam,anxiety
oxazepam,epilepsy partial
oxazepam,anxiety
oxazepam,alcohol withdrawal
quazepam,multiple sclerosis
temazepam,depression
temazepam,panic disorder
temazepam,insomnia
zaleplon,insomnia
zaleplon,sedation
benzoyl peroxide,not_found
benzyl alcohol,not_found
isoproterenol,vasovagal syncope
isoproterenol,torsades de pointes
isoproterenol,adams-stokes syndrome
isoproterenol,ventricular fibrillation
isoproterenol,ventricular fibrillation
isoproterenol,bradycardia
isoproterenol,shock hemorrhagic
isoproterenol,heart failure with reduced ejection fraction
isoproterenol,cardiac arrest
isoproterenol,septic shock
metaproterenol,chronic obstructive pulmonary disease
metaproterenol,asthma
metaproterenol,bronchospasm
orciprenaline,chronic obstructive pulmonary disease
orciprenaline,asthma
orciprenaline,bronchospasm
labetalol,congestive heart failure
labetalol,malignancy
labetalol,hypertension
labetalol,myocardial infarction
labetalol,angina
metoprolol,congestive heart failure
metoprolol,atrial fibrillation
metoprolol,atrial fibrillation
metoprolol,atrial flutter
metoprolol,hypertension
metoprolol,ventricular fibrillation
metoprolol,ventricular fibrillation
metoprolol,myocardial infarction
metoprolol,hypertension
metoprolol,paroxysmal supraventricular tachycardia
metoprolol,supraventricular tachycardia
metoprolol,ventricular tachycardia
metoprolol,angina
nadolol,congestive heart failure
nadolol,hypertension
nadolol,myocardial infarction
nadolol,hypertension
nadolol,angina
nebivolol,hypertension
pindolol,hypertension
pindolol,myocardial infarction
pindolol,hypertension
pindolol,angina
propranolol,essential tremor
propranolol,congestive heart failure
propranolol,esophageal and gastric varices
propranolol,migraine
propranolol,hypertension
propranolol,ventricular fibrillation
propranolol,ventricular fibrillation
propranolol,myocardial infarction
propranolol,migraine
propranolol,panic disorder
propranolol,hypertension
propranolol,pheochromocytoma
propranolol,paroxysmal supraventricular tachycardia
propranolol,supraventricular tachycardia
propranolol,ventricular tachycardia
propranolol,angina
sotalol,atrial fibrillation
sotalol,atrial fibrillation
sotalol,atrial flutter
sotalol,ventricular fibrillation
sotalol,ventricular fibrillation
sotalol,paroxysmal supraventricular tachycardia
sotalol,supraventricular tachycardia
sotalol,ventricular tachycardia
acebutolol,hypertension
acebutolol,ventricular fibrillation
acebutolol,ventricular fibrillation
acebutolol,myocardial infarction
acebutolol,hypertension
acebutolol,ventricular tachycardia
acebutolol,angina
atenolol,congestive heart failure
atenolol,atrial fibrillation
atenolol,atrial fibrillation
atenolol,atrial flutter
atenolol,ventricular fibrillation
atenolol,ventricular fibrillation
atenolol,myocardial infarction
atenolol,hypertension
atenolol,paroxysmal supraventricular tachycardia
atenolol,supraventricular tachycardia
atenolol,ventricular tachycardia
atenolol,angina
betaxolol,glaucoma
betaxolol,glaucoma
betaxolol,hypertension
betaxolol,hypertension
bisoprolol,congestive heart failure
bisoprolol,myocardial infarction
bisoprolol,hypertension
bisoprolol,paroxysmal supraventricular tachycardia
bisoprolol,supraventricular tachycardia
bisoprolol,angina
carteolol,glaucoma
carteolol,glaucoma
carteolol,hypertension
carteolol,hypertension
carvedilol,hypertension
esmolol,hypertension
levobunolol,glaucoma
levobunolol,glaucoma
levobunolol,hypertension
metipranolol,glaucoma
metipranolol,glaucoma
timolol,heart diseases
timolol,congestive heart failure
timolol,hypertension
timolol,glaucoma
timolol,glaucoma
timolol,myocardial infarction
timolol,coronary artery disease
timolol,migraine
timolol,hypertension
timolol,angina
salbutamol,allergic rhinitis
salbutamol,asthma
salbutamol,chronic obstructive pulmonary disease
avibactam,bacterial infection
betaine,homocystinuria
metformin,polycystic ovary syndrome
metformin,metabolic syndrome x
metformin,kidney neoplasm
metformin,liver neoplasms
metformin,prostatic neoplasms
metformin,diabetes mellitus
metformin,diabetes mellitus
colesevelam,hyperlipidemia
colestipol,coronary artery disease
colestipol,hypercholesterolemia
colestipol,enterocolitis pseudomembranous
colestipol,dyslipidemia
colestipol,diarrhea
colestipol,hypertriglyceridemia
cholic acid,zellweger syndrome
bismuth subcitrate,helicobacter pylori
ibandronate,osteoporosis
ibandronate,pagets disease of bone
ibandronate,osteoporosis
ibandronate,pagets disease of bone
risedronate,osteoporosis
risedronate,pagets disease of bone
risedronate,osteoporosis
risedronate,pagets disease of bone
alendronate,osteoporosis
alendronate,pagets disease of bone
alendronate,osteoporosis
alendronate,pagets disease of bone
etidronate,hypercalcemia
etidronate,heterotopic ossification
etidronate,pagets disease of bone
pamidronate,osteoporosis
pamidronate,pagets disease of bone
pamidronate,osteoporosis
pamidronate,pagets disease of bone
zoledronic acid,osteoporosis
zoledronic acid,pagets disease of bone
zoledronic acid,osteoporosis
zoledronic acid,pagets disease of bone
nesiritide,dyspnea paroxysmal
nesiritide,congestive heart failure
icatibant,hereditary angioedema
vemurafenib,melanoma
vemurafenib,skin cancer
vemurafenib,melanoma
bretylium,ventricular tachycardia
buspirone,depression
buspirone,panic disorder
buspirone,anxiety
clevidipine,hypertension
clevidipine,hypertension
clevidipine,angina
isradipine,hypertension
isradipine,hypertension
isradipine,angina
nicardipine,hypertension
nicardipine,hypertension
nicardipine,stable angina
nicardipine,angina
nimodipine,subarachnoid hemorrhage
nisoldipine,hypertension
nisoldipine,hypertension
nisoldipine,angina
felodipine,hypertension
felodipine,hypertension
felodipine,angina
nifedipine,hypertension
nifedipine,coronary artery disease
nifedipine,systemic scleroderma
nifedipine,hypertension
nifedipine,stable angina
nifedipine,angina
amlodipine,coronary artery disease
amlodipine,hypertension
amlodipine,coronary artery disease
amlodipine,hypertension
amlodipine,angina
diltiazem,atrial fibrillation
diltiazem,atrial fibrillation
diltiazem,atrial flutter
diltiazem,hypertension
diltiazem,myocardial infarction
diltiazem,coronary artery disease
diltiazem,hypertension
diltiazem,paroxysmal supraventricular tachycardia
diltiazem,supraventricular tachycardia
diltiazem,angina
verapamil,atrial fibrillation
verapamil,atrial fibrillation
verapamil,atrial flutter
verapamil,hypertension
verapamil,myocardial infarction
verapamil,migraine
verapamil,hypertension
verapamil,paroxysmal supraventricular tachycardia
verapamil,supraventricular tachycardia
verapamil,angina
cinacalcet,chronic kidney failure
cinacalcet,hypercalcemia
cyclosporine,rheumatoid arthritis
cyclosporine,systemic lupus erythematosus
cyclosporine,rheumatoid arthritis
cyclosporine,systemic lupus erythematosus
cyclosporine,psoriasis
cyclosporine,myasthenia gravis
cyclosporine,focal segmental glomerulosclerosis
cyclosporine,focal glomerulosclerosis
cyclosporine,psoriasis
cyclosporine,graft-vs-host disease
calcitonin (salmon synthetic),hypercalcemia
calcitonin (salmon synthetic),osteoporosis
calcitonin (salmon synthetic),osteitis deformans
calcitonin (salmon synthetic),osteogenesis imperfecta
salmon calcitonin,hypercalcemia
salmon calcitonin,osteoporosis
salmon calcitonin,osteitis deformans
salmon calcitonin,osteogenesis imperfecta
calcitonin,hypercalcemia
calcitonin,osteoporosis
calcitonin,osteitis deformans
calcitonin,osteogenesis imperfecta
calcium chloride,not_found
nabilone,nausea
nabilone,vomiting
tetrahydrocannabinol,nausea
tetrahydrocannabinol,anorexia
tetrahydrocannabinol,vomiting
meprobamate,muscle rigidity
meprobamate,muscle spasticity
meprobamate,spasm
meprobamate,headache
meprobamate,anxiety
ertapenem,bacterial infection
imipenem,pelvic infection
imipenem,enterobacter
imipenem,streptococcus
imipenem,staphylococcus
imipenem,sepsis
imipenem,infective endocarditis
imipenem,pseudomonas colitis
imipenem,urinary tract infection
imipenem,bacterial infection
meropenem,bacterial infection
acetazolamide,epilepsy syndrome
acetazolamide,altitude sickness
acetazolamide,glaucoma
acetazolamide,glaucoma
acetazolamide,seizures
brinzolamide,glaucoma
brinzolamide,hypertension
dorzolamide,glaucoma
dorzolamide,hypertension
methazolamide,glaucoma
methazolamide,glaucoma
methazolamide,glaucoma
dichlorphenamide,glaucoma
carglumic acid,hyperammonemia
palbociclib,breast cancer
guanfacine,hypertension
guanfacine,attention deficit hyperactive disorder
guanfacine,hypertension
guanfacine,attention deficit hyperactivity disorder
cefaclor,otitis media
cefaclor,pneumonia
cefaclor,cellulitis
cefaclor,bronchitis
cefaclor,streptococcus
cefaclor,staphylococcus
cefaclor,proteus
cefaclor,pharyngitis
cefaclor,haemophilus
cefaclor,urinary tract infection
cefaclor,bacterial infection
cefaclor,escherichia coli
cefaclor,klebsiella
cefalexin,bacterial infection
cefazolin,pneumonia
cefazolin,cellulitis
cefazolin,streptococcus
cefazolin,staphylococcus
cefazolin,proteus
cefazolin,infective endocarditis
cefazolin,urinary tract infection
cefazolin,bacterial infection
cefazolin,escherichia coli
cefazolin,klebsiella
cefazolin,human bite
cefdinir,allergic rhinitis
cefdinir,asthma
cefepime,bacterial infection
cefixime,otitis media
cefixime,pneumonia
cefixime,cellulitis
cefixime,bronchitis
cefixime,gonorrhea
cefixime,streptococcus
cefixime,moraxella
cefixime,staphylococcus
cefixime,proteus
cefixime,haemophilus
cefixime,urinary tract infection
cefixime,bacterial infection
cefixime,escherichia coli
cefixime,klebsiella
cefotaxime,bacteroides
cefotaxime,serratia
cefotaxime,gonorrhea
cefotaxime,urinary tract infection
cefotaxime,bacterial infection
cefotaxime,fusobacterium infections
cefotaxime,pneumonia
cefotaxime,cellulitis
cefotaxime,streptococcus
cefotaxime,staphylococcus
cefotaxime,klebsiella
cefotaxime,meningitis bacterial
cefotaxime,peritonitis
cefotaxime,sepsis
cefotaxime,proteus
cefotaxime,pseudomonas colitis
cefotaxime,escherichia coli
cefotaxime,clostridium
cefotaxime,not_found
cefotaxime,haemophilus
cefotaxime,salmonella infections
cefotaxime,acinetobacter
cefotetan,bacteroides
cefotetan,clostridium
cefotetan,cellulitis
cefotetan,gonorrhea
cefotetan,streptococcus
cefotetan,peritonitis
cefotetan,staphylococcus
cefotetan,proteus
cefotetan,sepsis
cefotetan,escherichia coli
cefotetan,haemophilus
cefotetan,urinary tract infection
cefotetan,bacterial infection
cefotetan,abscess
cefotetan,fusobacterium infections
cefotetan,klebsiella
cefotetan,human bite
cefoxitin,bacteroides
cefoxitin,clostridium
cefoxitin,cellulitis
cefoxitin,gonorrhea
cefoxitin,streptococcus
cefoxitin,staphylococcus
cefoxitin,peritonitis
cefoxitin,proteus
cefoxitin,sepsis
cefoxitin,haemophilus
cefoxitin,abscess
cefoxitin,urinary tract infection
cefoxitin,bacterial infection
cefoxitin,escherichia coli
cefoxitin,klebsiella
cefpodoxime,urinary tract infection
cefpodoxime,bacterial infection
cefprozil,bacterial infection
ceftaroline,bacterial infection
ceftaroline fosamil,bacterial infection
ceftazidime,pneumonia
ceftazidime,meningitis bacterial
ceftazidime,cellulitis
ceftazidime,neutropenia
ceftazidime,streptococcus
ceftazidime,serratia
ceftazidime,staphylococcus
ceftazidime,sepsis
ceftazidime,proteus
ceftazidime,pseudomonas colitis
ceftazidime,haemophilus
ceftazidime,urinary tract infection
ceftazidime,bacterial infection
ceftazidime,acinetobacter
ceftazidime,fever
ceftazidime,escherichia coli
ceftazidime,klebsiella
ceftolozane,bacterial infection
ceftriaxone,otitis media
ceftriaxone,chancroids
ceftriaxone,bacterial infection
ceftriaxone,serratia
ceftriaxone,gonorrhea
ceftriaxone,urinary tract infection
ceftriaxone,bacterial infection
ceftriaxone,epididymitis
ceftriaxone,lyme disease
ceftriaxone,pneumonia
ceftriaxone,cellulitis
ceftriaxone,streptococcus
ceftriaxone,staphylococcus
ceftriaxone,klebsiella
ceftriaxone,pelvic infection
ceftriaxone,meningitis bacterial
ceftriaxone,peritonitis
ceftriaxone,sepsis
ceftriaxone,proteus
ceftriaxone,pseudomonas colitis
